STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE,RESERVOIR_NAME,STATION_ID_INPUT
CCH,2005-03-01,238335827.61460304,M3,15,M, ,STORAGE,20050301 0000,CACHUMA LAKE (BRADBURY DAM),CCH
MAT,2005-01-01,1196477.382421075,M3,15,M, ,STORAGE,20050101 0000,MATILIJA DAM,MAT
MAT,2005-02-01,1217446.5736593825,M3,15,M, ,STORAGE,20050201 0000,MATILIJA DAM,MAT
MAT,2005-03-01,1189076.49139579,M3,15,M, ,STORAGE,20050301 0000,MATILIJA DAM,MAT
CSI,2005-01-01,266737980.40597177,M3,15,M, ,STORAGE,20050101 0000,CASITAS,CSI
CSI,2005-02-01,298782605.06361824,M3,15,M, ,STORAGE,20050201 0000,CASITAS,CSI
CSI,2005-03-01,308981032.896461,M3,15,M, ,STORAGE,20050301 0000,CASITAS,CSI
PYM,2005-01-01,203013841.7145928,M3,15,M, ,STORAGE,20050101 0000,PYRAMID,PYM
PYM,2005-02-01,206495960.94198942,M3,15,M, ,STORAGE,20050201 0000,PYRAMID,PYM
PYM,2005-03-01,209140546.00169125,M3,15,M, ,STORAGE,20050301 0000,PYRAMID,PYM
CAS,2005-01-01,353192722.399676,M3,15,M, ,STORAGE,20050101 0000,CASTAIC,CAS
CAS,2005-02-01,379875401.50950354,M3,15,M, ,STORAGE,20050201 0000,CASTAIC,CAS
CAS,2005-03-01,356872198.72108024,M3,15,M, ,STORAGE,20050301 0000,CASTAIC,CAS
PRU,2005-01-01,102872385.25146149,M3,15,M,r,STORAGE,20050101 0000,LAKE PIRU,PRU
PRU,2005-02-01,103489126.17023525,M3,15,M,r,STORAGE,20050201 0000,LAKE PIRU,PRU
PRU,2005-03-01,102008947.96517825,M3,15,M,r,STORAGE,20050301 0000,LAKE PIRU,PRU
CGS,2005-01-01,9771643.117051294,M3,15,M, ,STORAGE,20050101 0000,COGSWELL RESERVOIR,CGS
CGS,2005-02-01,8223623.410929182,M3,15,M, ,STORAGE,20050201 0000,COGSWELL RESERVOIR,CGS
CGS,2005-03-01,12894819.129721565,M3,15,M, ,STORAGE,20050301 0000,COGSWELL RESERVOIR,CGS
SGB,2005-01-01,47477949.40904082,M3,15,M, ,STORAGE,20050101 0000,SAN GABRIEL,SGB
SGB,2005-02-01,43236005.36971497,M3,15,M, ,STORAGE,20050201 0000,SAN GABRIEL,SGB
SGB,2005-03-01,51080949.85651707,M3,15,M, ,STORAGE,20050301 0000,SAN GABRIEL,SGB
MHW,2005-01-01,202476043.6334221,M3,15,M, ,STORAGE,20050101 0000,LAKE MATHEWS,MHW
MHW,2005-02-01,205706532.565959,M3,15,M, ,STORAGE,20050201 0000,LAKE MATHEWS,MHW
MHW,2005-03-01,204550760.08417702,M3,15,M, ,STORAGE,20050301 0000,LAKE MATHEWS,MHW
HMT,2005-01-01,14595790.583699567,M3,15,M, ,STORAGE,20050101 0000,LAKE HEMET,HMT
HMT,2005-02-01,16698877.116718054,M3,15,M, ,STORAGE,20050201 0000,LAKE HEMET,HMT
HMT,2005-03-01,16698877.116718054,M3,15,M, ,STORAGE,20050301 0000,LAKE HEMET,HMT
PRR,2005-01-01,143001249.87239432,M3,15,M, ,STORAGE,20050101 0000,PERRIS,PRR
PRR,2005-02-01,144205128.14584067,M3,15,M, ,STORAGE,20050201 0000,PERRIS,PRR
PRR,2005-03-01,150643903.33783862,M3,15,M, ,STORAGE,20050301 0000,PERRIS,PRR
BRV,2005-01-01,63389865.113403566,M3,15,M, ,STORAGE,20050101 0000,BEAR VALLEY DAM,BRV
BRV,2005-02-01,68422471.01059736,M3,15,M, ,STORAGE,20050201 0000,BEAR VALLEY DAM,BRV
BRV,2005-03-01,73783183.07657881,M3,15,M, ,STORAGE,20050301 0000,BEAR VALLEY DAM,BRV
SVO,2005-01-01,36372912.42560068,M3,15,M, ,STORAGE,20050101 0000,SEVEN OAKS DAM,SVO
SVO,2005-02-01,50602358.903548636,M3,15,M, ,STORAGE,20050201 0000,SEVEN OAKS DAM,SVO
SVO,2005-03-01,32460308.03690001,M3,15,M, ,STORAGE,20050301 0000,SEVEN OAKS DAM,SVO
RLC,2005-01-01,14768478.040956216,M3,15,M, ,STORAGE,20050101 0000,RAILROAD CANYON,RLC
RLC,2005-02-01,14962134.689451175,M3,15,M, ,STORAGE,20050201 0000,RAILROAD CANYON,RLC
RLC,2005-03-01,14832619.096508687,M3,15,M, ,STORAGE,20050301 0000,RAILROAD CANYON,RLC
SGC,2005-01-01,31358808.75597009,M3,15,M, ,STORAGE,20050101 0000,SANTIAGO CREEK RES (IRVINE LAKE),SGC
SGC,2005-02-01,31795461.326461907,M3,15,M, ,STORAGE,20050201 0000,SANTIAGO CREEK RES (IRVINE LAKE),SGC
SGC,2005-03-01,30935724.485691298,M3,15,M, ,STORAGE,20050301 0000,SANTIAGO CREEK RES (IRVINE LAKE),SGC
DMV,2005-01-01,784977973.5605286,M3,15,M, ,STORAGE,20050101 0000,DIAMOND VALLEY,DMV
DMV,2005-02-01,826371157.0649476,M3,15,M, ,STORAGE,20050201 0000,DIAMOND VALLEY,DMV
DMV,2005-03-01,877037657.0240487,M3,15,M, ,STORAGE,20050301 0000,DIAMOND VALLEY,DMV
VIL,2005-01-01,32724273.150135174,M3,15,M, ,STORAGE,20050101 0000,VAIL LAKE,VIL
VIL,2005-02-01,39792124.07928235,M3,15,M, ,STORAGE,20050201 0000,VAIL LAKE,VIL
VIL,2005-03-01,42555123.395388745,M3,15,M, ,STORAGE,20050301 0000,VAIL LAKE,VIL
STD,2005-01-01,10873142.397981212,M3,15,M, ,STORAGE,20050101 0000,SUTHERLAND RESERVOIR,STD
STD,2005-02-01,18645311.45636801,M3,15,M, ,STORAGE,20050201 0000,SUTHERLAND RESERVOIR,STD
STD,2005-03-01,23437388.395240046,M3,15,M, ,STORAGE,20050301 0000,SUTHERLAND RESERVOIR,STD
HDG,2005-01-01,29136074.484709498,M3,15,M, ,STORAGE,20050101 0000,LAKE HODGES,HDG
HDG,2005-02-01,38605514.55156165,M3,15,M, ,STORAGE,20050201 0000,LAKE HODGES,HDG
HDG,2005-03-01,38225602.145597026,M3,15,M, ,STORAGE,20050301 0000,LAKE HODGES,HDG
CUY,2005-01-01,1228547.91019731,M3,15,M, ,STORAGE,20050101 0000,CUYAMACA DAM,CUY
CUY,2005-02-01,8282830.539131462,M3,15,M, ,STORAGE,20050201 0000,CUYAMACA DAM,CUY
CUY,2005-03-01,7127058.057349455,M3,15,M, ,STORAGE,20050301 0000,CUYAMACA DAM,CUY
MOR,2005-01-01,7144326.80307512,M3,15,M, ,STORAGE,20050101 0000,MORENA DAM,MOR
MOR,2005-02-01,12030148.361600766,M3,15,M, ,STORAGE,20050201 0000,MORENA DAM,MOR
MOR,2005-03-01,15386452.441567514,M3,15,M, ,STORAGE,20050301 0000,MORENA DAM,MOR
HNS,2005-01-01,23874040.965731863,M3,15,M, ,STORAGE,20050101 0000,HENSHAW,HNS
HNS,2005-02-01,39103841.213930845,M3,15,M, ,STORAGE,20050201 0000,HENSHAW,HNS
HNS,2005-03-01,45022087.070483744,M3,15,M, ,STORAGE,20050301 0000,HENSHAW,HNS
BRT,2005-01-01,18359143.670056988,M3,15,M, ,STORAGE,20050101 0000,BARRETT,BRT
BRT,2005-02-01,27087261.152543098,M3,15,M, ,STORAGE,20050201 0000,BARRETT,BRT
BRT,2005-03-01,33634582.74624523,M3,15,M, ,STORAGE,20050301 0000,BARRETT,BRT
SKN,2005-01-01,46667551.84177211,M3,15,M, ,STORAGE,20050101 0000,SKINNER,SKN
SKN,2005-02-01,47202882.95926773,M3,15,M, ,STORAGE,20050201 0000,SKINNER,SKN
SKN,2005-03-01,47368169.52549909,M3,15,M, ,STORAGE,20050301 0000,SKINNER,SKN
MMR,2005-01-01,7257807.132129489,M3,15,M, ,STORAGE,20050101 0000,MIRAMAR,MMR
MMR,2005-02-01,7186265.185551735,M3,15,M, ,STORAGE,20050201 0000,MIRAMAR,MMR
MMR,2005-03-01,7177630.812688902,M3,15,M, ,STORAGE,20050301 0000,MIRAMAR,MMR
JNN,2005-01-01,10961953.090284633,M3,15,M, ,STORAGE,20050101 0000,LAKE JENNINGS,JNN
JNN,2005-02-01,11090235.201389572,M3,15,M, ,STORAGE,20050201 0000,LAKE JENNINGS,JNN
JNN,2005-03-01,11100103.056089953,M3,15,M, ,STORAGE,20050301 0000,LAKE JENNINGS,JNN
ELC,2005-01-01,63980702.91358882,M3,15,M, ,STORAGE,20050101 0000,EL CAPITAN DAM,ELC
ELC,2005-02-01,81506012.8614637,M3,15,M, ,STORAGE,20050201 0000,EL CAPITAN DAM,ELC
ELC,2005-03-01,92064617.3908703,M3,15,M, ,STORAGE,20050301 0000,EL CAPITAN DAM,ELC
SVT,2005-01-01,92180564.68359977,M3,15,M, ,STORAGE,20050101 0000,SAN VICENTE,SVT
SVT,2005-02-01,99460574.48880512,M3,15,M, ,STORAGE,20050201 0000,SAN VICENTE,SVT
SVT,2005-03-01,100356082.3028646,M3,15,M, ,STORAGE,20050301 0000,SAN VICENTE,SVT
MRR,2005-01-01,4488640.406835352,M3,15,M, ,STORAGE,20050101 0000,MURRAY RESERVOIR,MRR
MRR,2005-02-01,4530578.789311967,M3,15,M, ,STORAGE,20050201 0000,MURRAY RESERVOIR,MRR
MRR,2005-03-01,4539213.1621747995,M3,15,M, ,STORAGE,20050301 0000,MURRAY RESERVOIR,MRR
LVD,2005-01-01,21735183.459424496,M3,15,M, ,STORAGE,20050101 0000,LOVELAND RESERVOIR,LVD
LVD,2005-02-01,25517038.77334513,M3,15,M, ,STORAGE,20050201 0000,LOVELAND RESERVOIR,LVD
LVD,2005-03-01,30952993.231416963,M3,15,M, ,STORAGE,20050301 0000,LOVELAND RESERVOIR,LVD
SW3,2005-01-01,18682315.911494434,M3,15,M, ,STORAGE,20050101 0000,SWEETWATER RESERVOIR,SW3
SW3,2005-02-01,27824883.291396502,M3,15,M, ,STORAGE,20050201 0000,SWEETWATER RESERVOIR,SW3
SW3,2005-03-01,28667351.386441447,M3,15,M, ,STORAGE,20050301 0000,SWEETWATER RESERVOIR,SW3
LOT,2005-01-01,51996193.379977316,M3,15,M, ,STORAGE,20050101 0000,LOWER OTAY,LOT
LOT,2005-02-01,61323783.03551151,M3,15,M, ,STORAGE,20050201 0000,LOWER OTAY,LOT
LOT,2005-03-01,60853826.455405906,M3,15,M, ,STORAGE,20050301 0000,LOWER OTAY,LOT
WHI,2005-01-01,260957884.5152242,M3,15,M, ,STORAGE,20050101 0000,WHISKEYTOWN DAM (USBR),WHI
WHI,2005-02-01,258599467.24183336,M3,15,M, ,STORAGE,20050201 0000,WHISKEYTOWN DAM (USBR),WHI
WHI,2005-03-01,252905715.0797141,M3,15,M, ,STORAGE,20050301 0000,WHISKEYTOWN DAM (USBR),WHI
SHA,2005-01-01,3493258801.871484,M3,15,M, ,STORAGE,20050101 0000,SHASTA DAM (USBR),SHA
SHA,2005-02-01,3907739536.3333826,M3,15,M, ,STORAGE,20050201 0000,SHASTA DAM (USBR),SHA
SHA,2005-03-01,4720585565.049622,M3,15,M, ,STORAGE,20050301 0000,SHASTA DAM (USBR),SHA
KES,2005-01-01,27823649.809558958,M3,15,M, ,STORAGE,20050101 0000,KESWICK RESERVOIR,KES
KES,2005-02-01,25964792.680374872,M3,15,M, ,STORAGE,20050201 0000,KESWICK RESERVOIR,KES
KES,2005-03-01,26112810.500880573,M3,15,M, ,STORAGE,20050301 0000,KESWICK RESERVOIR,KES
MCO,2005-01-01,26749287.129055083,M3,15,M, ,STORAGE,20050101 0000,LAKE MCCLOUD,MCO
MCO,2005-02-01,29237219.995388392,M3,15,M, ,STORAGE,20050201 0000,LAKE MCCLOUD,MCO
MCO,2005-03-01,30455900.05088532,M3,15,M, ,STORAGE,20050301 0000,LAKE MCCLOUD,MCO
BIT,2005-01-01,47567993.58318179,M3,15,M, ,STORAGE,20050101 0000,LAKE BRITTON,BIT
BIT,2005-02-01,48559712.98056998,M3,15,M, ,STORAGE,20050201 0000,LAKE BRITTON,BIT
BIT,2005-03-01,47264557.0511451,M3,15,M, ,STORAGE,20050301 0000,LAKE BRITTON,BIT
IRC,2005-01-01,12125126.463091925,M3,15,M, ,STORAGE,20050101 0000,IRON CANYON,IRC
IRC,2005-02-01,12952792.776086297,M3,15,M, ,STORAGE,20050201 0000,IRON CANYON,IRC
IRC,2005-03-01,4276481.530777182,M3,15,M, ,STORAGE,20050301 0000,IRON CANYON,IRC
PT6,2005-01-01,16849361.900898848,M3,15,M, ,STORAGE,20050101 0000,PIT R NO 6 RESERVOIR,PT6
PT6,2005-02-01,16400374.512031559,M3,15,M, ,STORAGE,20050201 0000,PIT R NO 6 RESERVOIR,PT6
PT6,2005-03-01,16940639.556877363,M3,15,M, ,STORAGE,20050301 0000,PIT R NO 6 RESERVOIR,PT6
PT7,2005-01-01,40856618.90508584,M3,15,M, ,STORAGE,20050101 0000,PIT R NO 7 RESERVOIR,PT7
PT7,2005-02-01,40070890.974568084,M3,15,M, ,STORAGE,20050201 0000,PIT R NO 7 RESERVOIR,PT7
PT7,2005-03-01,40856618.90508584,M3,15,M, ,STORAGE,20050301 0000,PIT R NO 7 RESERVOIR,PT7
EPK,2005-01-01,60132239.580440626,M3,15,M, ,STORAGE,20050101 0000,EAST PARK RESERVOIR,EPK
EPK,2005-02-01,60650301.952210575,M3,15,M, ,STORAGE,20050201 0000,EAST PARK RESERVOIR,EPK
EPK,2005-03-01,60230918.127444424,M3,15,M, ,STORAGE,20050301 0000,EAST PARK RESERVOIR,EPK
STG,2005-01-01,49845001.05529447,M3,15,M, ,STORAGE,20050101 0000,STONY GORGE RESERVOIR,STG
STG,2005-02-01,51695223.81161572,M3,15,M, ,STORAGE,20050201 0000,STONY GORGE RESERVOIR,STG
STG,2005-03-01,59268802.29415737,M3,15,M, ,STORAGE,20050301 0000,STONY GORGE RESERVOIR,STG
BLB,2005-01-01,72633578.00398454,M3,15,M, ,STORAGE,20050101 0000,BLACK BUTTE,BLB
